catid,category
4,DJI
5,INSTA360
6,GO PRO
7,BETAFPV
8,FIMI
9,SANDISK
10,LEXAR
11,ANTCOOL
12,ACCESSORIES
13,HUBSAN
14,DDPAI
15,HOVER AIR
16,ULANZI 
17,AMAGSIN
18,EDOR
20,VRIG
21,TELESIN
22,KINGMA
23,BOBLOV
24,AUTEL
25,DELIVERY 
26,DJI SHIRT
27,BRDRC
