catid,category
4,DJI
5,INSTA360
6,GO PRO
7,BETAFPV
8,FIMI
9,SANDISK
10,LEXAR
11,ANTCOOL
12,ACCESSORIES
13,DELIVERY
14,HUBSAN
15,DDPAI
16,HOVER AIR 
17,AIRWHEEL
18,POP MART
19,VRIG
20,EDOR
21,AUTEL
22,TELESIN 
23,ULANZI
24,TNVI
25,AMAGSIN
26,KINGMA
27,BOBLOV
28,BRDRC
